Case Number,Diagnos-tician,State,County,Area,Histo Number,Species,Year,No. Rec.,Sex,Age,Weight,Diagnosis,Other/Comments,Date Rec.,Date Final,Submitter,Agency,
674-18,Dalton,NC,Burke,near Morganton Wildlife Depot,W19-318,Gray Fox,2018,1,Female,Adult,4 kg,Canine distemper; Protozoal encephalitis due to Toxoplasma gondii.,Rabies virus not detected,12/07/2018,12/18/18,Ray,NCWRC,
680-18,Kunkel,LA,St. Tammany,"North Heidi Drive, Covington",W19-325,Gray Fox,2018,1,Female,Adult,2.86 kg,Canine distemper; Secondary bacterial pneumonia and hepatitis due to Listeria monocytogenes,#GFOX-IF-St.Tammany-10December2018. Rabies virus was not detected.,12/11/2018,01/30/19,Day/LaCour,LADWF,
896-19,Dugovich,NC,Gaston,"Greendale Drive, Gastonia",W19-1070,Gray Fox,2019,1,Male,Adult,4.04 kg,Canine distemper; suspect trauma (pulmonary hemorrhage),Rabies virus was not detected.,11/26/19,01/06/2020,Ray,NCWRC,
262-14,Ballard,LA,East Feliciana,Slaughter,W15-47,Gray Fox,2014,1,Female,Unknown,2.2 kg,Canine distemper; toxoplasmosis,Rabies not detected,09/03/2014,10/08/2014,LaCour,LADWF,
856-19,Dugovich,LA,Bossier,"East Texas Street, Bossier City",W19-1066,Gray Fox,2019,1,Male,Adult,4.59 kg,Cause of death undetermined; mild Heterobilharzia americana infection,#GFOX-AM-Bossier-13Nov2019.  Rabies virus and canine distemper virus were not detected.,11/15/19,12/20/19,Yeldel/LaCour,LADWF,
249-19,Niedringhaus,LA,Tangipahoa,"North Fifth Street, Ponchatoula",W19-665,Gray Fox,2019,1,Female,Adult,3.33 kg,Diphacinone toxicosis,#GRFOX-AF-Tangipahoa-30May2019. Rabies virus and canine distemper virus were not detected.,05/31/19,07/11/2019,Burks/LaCour,LADWF,
010-17,Ruder,PA,Susquehanna,Dimock,W17-356,Gray Fox,2017,1,Male,Adult,4.5 kg,Emaciation (pulmonary and intestinal parasitism),#17NE0001.  Rabies and canine distemper virus were not detected.,01/05/2017,03/28/17,Wenner/Brown,PAGC,
174-17,Fenton,NC,Washington,"Pettigrew State Park, 35.790290, -76.410175",,Gray Fox,2017,1,Male,Adult,3.18 kg,Rabies,Canine distemper virus was not detected.,03/30/17,04/12/2017,Turner,NCWRC,
081-17,Bryan,LA,East Feliciana,Slaughter,W17-446,Gray Fox,2017,1,Male,Adult,Unknown,Sparganosis,,02/08/2017,03/20/17,Anderson/LaCour,LADWF,
062-17,Bahnson,LA,St. Tammany,"Mountain Ash Drive, Slidell",W17-424,Gray Fox,2017,1,Female,Adult,3.4 kg,Suspect anticoagulant rodenticide (brodifacoum detected); nephritis of unknown origin,#Gfox-AF-StTam-24Jan2017.  Rabies and canine distemper virus not detected,01/26/17,03/14/17,"LeBlanc, LaCour",LADWF,
526-16,Niedringhaus,GA,Glynn,"Soccer Field, Jekyll Island",W17-181,Gray Fox,2016,1,Male,Adult,4.06 kg,Trauma (entanglement),Rabies and canine distemper virus were not detected.,09/26/16,11/07/2016,Ricks,GADNR,
202-18,Ruder,KY,Rowan,Big Brushy Road area,W18-560,Gray Fox,2018,1,Male,Adult,3.58 kg,Undetermined,#KDFWR-W-2018-80. Rabies virus and canine distemper virus were not detected.,05/30/18,07/20/18,Hemberger/Gregory,KYDFWR,
058-19,Dalton,GA,Fulton,Hwy 278,W19-438,Gray Squirrel,2019,1,Female,Adult,0.25 kg,               ,"Advanced autolysis.  Rabies virus, arboviruses, and Francisella tularensis (causative agent of tularemia) were not detected.",02/05/2019,03/20/19,Reese/Johannsen,GADNR,
298-17,Bryan,LA,Bossier,"Waverly Drive, Bossier City","W17-719, W17-720",Gray Squirrel,2017,2,A: Female. B: Male.,A&B: Adult,A&B: 300 g,A&B: Trauma,A: GSQ-JF-Bossier-5June2017.  B: GSQ-JM-Bossier-14June2017.  No evidence of infection with Francisella tularensis or rabies virus was detected.,06/15/17,08/14/17,Anderson/LaCour,LADWF,
199-16,Bryan,LA,Livingston,Denham Springs,"W16-624, W16-625",Gray Squirrel,2016,2,Both,Adult,Unknown,A&B: Undetermined,A: SQ16-001A. B: SQ16-001B.  Tularemia was not detected.,04/13/16,06/20/16,LaCour,LADWF,
619-18,Kunkel,PA,Cumberland,"40.229933, -76.871836 (near Cumberland Township)",W19-270,Gray Squirrel,2018,2,A: Male. B: Female,Adult,A: 540 g. B: 655 g,A&B: Undetermined.,#18SC0043A&B.  No arboviruses and no Francisella tularensis were detected.,11/06/2018,12/21/18,Brown,PAGC,
323-17,Ruder,LA,Bossier,Bossier City,W18-024,Gray Squirrel,2017,3,A&B: Female. C: Male.,A-C: Adult,A: 380 g. B: 495 g. C: 475 g.,A. Undetermined.  B: Trauma.  C: Non-diagnostic submission.,Francisella tularensis was not detected from squirrels A and B. No arboviruses were isolated from Squirrel A.,07/07/2017,08/14/17,Hasapes/LaCour,LADWF,
346-19,Ruder,AR,Stone,"Highway 5, south of Mt. View",-,Gray Squirrel,2019,4,Female,Adult,A: 1.055 g. B-D: N/A,A: Trauma (gunshot); B-D: Trauma (gunshot suspected),Liver from squirrel A tested negative for tularemia by PCR.,07/11/2019,07/22/19,Ballard,ARGFC,
494-16,Fenton,PA,Cumberland,"Carlisle Borough; 40.204051, -77.181802",W17-167,Gray Squirrel,2016,1,Male,Juvenile,0.495 kg,Anticoagulant rodenticide intoxication (Diphacinone detected),#16SC0041.  Diphacinone: 5700 ppb. Rabies virus and tularemia were not detected.,09/13/16,10/28/16,Vreeland/Brown,PAGC,
475-15,Ruder,KY,Daviess,Owensboro,W16-200,Gray Squirrel,2015,1,Male,Adult,680 g,Anticoagulant rodenticide intoxication (diphacinone),"Infection with Francisella tularensis, the causative agent of tularemia, was not detected.",09/16/15,10/16/15,Stasiak,KYDFWR,
668-16,Bryan,AL,Autauga,Prattville,W17-293,Gray Squirrel,2016,2,Both,Adult,"0.3, 0.4 kg","Anticoagulant rodenticide intoxication in A (bromadiolone) and B (bromadiolone, diphacinone, brodfacoun, chlorophacinone, and coumachlor)",Bromadiolone (13 000 ppb in A and (6 100 ppb in B),11/30/16,01/10/2017,Abbott,ALDWFF,
199-14,Elsmo,NC,Durham,West Wood States,W15-03,Gray Squirrel,2014,1,Female,Adult,670 g,Anticoagulant rodenticide toxicosis (chlorophacinone and brodifacoum identified),Chlorophacinone was 2.00 PPM.,07/15/14,08/07/2014,Palamar,NCWRC,
131-18,Niedringhaus,AR,Saline,"Cherry Crossing Drive, Benton",W18-450,Gray Squirrel,2018,1,Male,Adult,490 g,Anticoagulant rodenticide toxicosis (diphacinone),"Francisella tularensis, the bacterium that causes tularemia, was not detected.",04/04/2018,04/27/18,Ballard,ARGFC,
661-15,Bahnson,KS,Wyandotte,Rosedale Park,W16-398,Gray Squirrel,2015,1,Male,Adult,0.385 kg,Bacterial sepsis (Streptococcus pyogenes isolated),Rabies and tularemia were not detected.,12/09/2015,01/06/2016,Hesting,KSDWPT,
713-17,Bahnson,NC,New Hanover,"Inland Greens Drive, Wilmington",W18-249,Gray Squirrel,2017,1,Male,Adult,155 g,Diaphragmatic hernia,,11/21/17,12/13/17,Kent,NCWRC,
360-17,Niedringhaus,AR,Pulaski,Unknown,W18-065,Gray Squirrel,2017,1,Female,Adult,360 g,Gastric perforation,Francisella tularensis was not detected.,07/26/17,08/14/17,Ballard,ARGFC,
264-14,Ballard,NC,Wake,Fuquay Varina,W15-49,Gray Squirrel,2014,1,Male,Juvenile,198 g,Hepatic lipidosis (fatty liver syndrome),Francisella tularensis was not detected.,09/04/2014,10/08/2014,Palamar,NCWRC,
207-18,Ruder,PA,Blair,Altoona,-,Gray Squirrel,2018,1,Female,Juvenile,110 g,Mild hydrocephalus,#18WH0018.,05/30/18,06/11/2018,Brown,PAGC,
132-18,Niedringhaus,KY,Jackson,Turkeyfoot,W18-451,Gray Squirrel,2018,1,Female,Juvenile,145 g,Squirrel fibroma; emaciation,"#KDFWR-W-2018-27.  The causative agent of tularemia, Francisella tularensis, was not detected.",04/04/2018,04/18/18,Hacker/Stasiak,KYDFWR,
111-14,Ballard,NC,Wake,Netherlands Drive,,Gray Squirrel,2014,1,Female,Adult,567 g,Trauma,The bacterium that causes tularemia was ruled out.,03/28/14,04/02/2014,Batts,NCWRC,
291-15,Fenton,GA,Camden,St. Mary's,W16-14,Gray Squirrel,2015,1,Female,Adult,275.35 g,Trauma,Tularemia and rabies were not detected.,07/06/2015,07/20/15,Tyler,GADNR,
692-16,Bahnson,KY,Daviess,Private residence,W17-311,Gray Squirrel,2016,1,Male,Adult,0.51 kg,Trauma,#KDFWR-W-2016-125.  Infection with an arbovirus was not detected.,12/09/2016,01/23/18,Stasiak,KYDFWR,
138-17,Ruder,VA,Fairfax,Lake Fairfax Park,W17-537,Gray Squirrel,2017,1,Female,Adult,620 g,Trauma (apparent predation),"Tested negative for Francisella tularensis, the causative agent of tularemia.",03/09/2017,04/25/17,Rose,VADGIF,
510-15,Bryan,VA,Wythe,Wytheville,-,Gray Squirrel,2015,1,Male,Adult,0.4 kg,Trauma (gunshot),,09/30/15,10/15/15,Kirchgessner,VADGIF,
200-16,Bryan,LA,Livingston,Denham Springs,W16-636,Gray Squirrel,2016,1,Male,Adult,0.4 kg,Undetermined,#SQ16-002.  Marked autolysis may have masked subtle changes. Tularemia not detected,04/13/16,07/06/2016,LaCour,LADWF,
318-17,Ruder,LA,East Feliciana,north of Clinton,W18-017,Gray Squirrel,2017,1,Male,Juvenile,310 g,Undetermined,#GSQ-JM-EastFeliciana-3July2017. No arboviruses were isolated from the brain and Francisella tularensis was not detected in the liver.,07/06/2017,08/08/2017,Anderson/LaCour,LADWF,
480-17,Bryan,TN,Cumberland,Sparta,W18-135,Gray Squirrel,2017,1,Male,Juvenile,120 g,Undetermined,Neither Francisella tularensis nor rabies virus was detected.,09/07/2017,10/11/2017,Simpson,TNWRA,
520-18,Dalton,MO,St. Charles,"38.728364, -90.646165",W19-185,Gray Squirrel,2018,1,Female,Subadult,0.24 kg,Undetermined,"#18125. No cause for the abnormal, aggressive behavior was evident.  ",10/04/2018,11/19/18,Cordell/Russell,MODOC,
632-18,Kunkel,LA,East Baton Rouge,"Lancelot, Baton Rouge",W19-275,Gray Squirrel,2018,1,Female,Adult,Unknown,Undetermined; No arboviruses or rabies virus detected,#GSQ-AF-EastBatonRouge-7November2018.,11/09/2018,01/04/2019,Anderson/LaCour,LADWF,
707-17,Niedringhaus,PA,Centre,Ferguson Township,W18-269,Groundhog,2017,1,Female,Adult,Unknown,Dermatitis,#17WH0038. No parasites were detected.,11/15/17,12/13/17,Brown,PAGC,
404-18,Bahnson,KY,Franklin,"Willowcrest Drive, Frankfort",W19-109,Groundhog,2018,1,Female,Adult,2.82 kg,Encephalitis; Baylisascaris sp. identified.,Rabies virus was not detected.,08/23/18,09/13/18,Palmer/Hemberger,KYDFWR,
396-14,Niedringhaus,KY,Taylor,"604 Hunters Run, Campbellsville",W15-167,Groundhog,2014,1,Female,Adult,5.58 kg,Intracranial granuloma; Baylisascaris pyocyonis identified,Rabies and canine distemper virus were not detected.,12/10/2014,01/27/15,Mason,KYDFWR,
376-15,Bryan,KY,Hardin,Junction of Dupin Loop and Dry Ridge Road,W16-122,Groundhog,2015,1,Female,Adult,3.5 kg,Trauma; possible vehicle collision,#KDFWR-W-2015-15.  No evidence of rabies virus was detected.,08/19/15,10/15/15,Stasiak,KYDFWR,
265-17,Bryan,PA,Monroe,Tunkhannock Township,-,Groundhog,2017,1,Female,Adult,3 kg,Undetermined,#17NE0006.  No evidence of parasite-induced disease was identified microscopically.,05/26/17,07/27/17,Brown,PAGC,
471-15,Ruder,NC,Haywood,"Campbell Creek Road, Maggie Valley",W16-198,Long-tailed Weasel,2015,1,Male,Adult,205 g,Trauma; canine distemper virus infection,Rabies not detected,09/16/15,11/10/2015,McVey,NCWRC,
669-16,Bryan,LA,St. Mary,Berwick,W17-294,Louisiana Black Bear,2016,1,Male,8 mths,16 kg,Trauma (vehicular collision),Rabies and canine distemper virus were not detected.,11/30/16,01/10/2017,LaCour,LADWF,
260-19,Kunkel,VA,Botetourt,Buchanan,W19-657,Microtus sp. (Vole),2019,1,Male,Adult,26.25 g,Mild encephalitis (cause undetermined); No rabies virus or Francisella tularensis detected,,06/05/2019,07/29/19,Kirchgessner,VADGIF,
565-15,Fenton,KY,Kenton,Unknown,W16-319,Mink,2015,1,Male,Juvenile,0.605 kg,Poor nutritional condition (starvation); Canine distemper virus infection,#KDFWR-W-2015-55. Rabies not detected,10/16/15,12/03/2015,Stasiak,KYDFWR,
883-19,Weyna,KY,Calloway,Unknown,W19-1041,Mink,2019,1,Female,Unknown,Unknown,Pulmonary parasitism (suspect metastrongyles),#KDFWR-W-2019-120,11/22/19,12/05/2019,Casey,KYDFWR,
054-18,Bahnson,KY,Mercer,Sparrow Lane,-,Mink,2018,1,Female,Adult,765 g,Trauma,#KDFWR-W-2018-09.  Rabies virus and canine distemper virus were detected.,02/14/18,02/20/18,Stasiak,KYDFWR,
610-16,Bryan,FL,Nassau,Unknown,W17-259,Mink,2016,1,Male,Adult,1.2 kg,Trauma (trap mortality),#161027-02. No evidence of exposure to anticoagulant rodenticides.  Rabies and canine distemper viruses were not detected.,10/28/16,11/30/16,Shender/Cunningham,FLFWCC,
410-14 ,Elsmo,KY,Bourbon,Paris,W15-177,Mountain Lion,2014,1,Male,~2 yrs,57 kg,Acute abdominal muscular trauma; multifocal mild vasculitis (kidney and heart),Ancillary testing for parvoviruses reveled infection with feline parvovirus.  This likely represents a subclinical infection.,12/23/14,02/24/15,Stasiak,KYDFWR,
602-15,Elsmo,KS,Ford,Dodge City,"W16-367, W16-386",Mountain Lion,2015,1,Female,Sub-adult,Unknown,Emaciation (per submitter); Feline calicivirus infection (subclinical),"Feline leukemia virus, feline panleukopenia virus, feline herpesvirus, influenza A viruses, Bordetella spp., Mycoplasma spp., and Chlamydophila felis were not detected. Canine distemper virus and pseudorabies virus were not detected.",11/05/2015,12/09/2015,Peek,KSDWPT,
120-18,Dalton,NE,Sheridan,near White Clay,W18-439,Mountain Lion,2018,1,Male,22 mths,56 kg,Franciscella tularensis and Yersinia pestis not detected,#M31,03/29/18,04/16/18,Blake/Nordeen,NEGPC,
307-18,Bahnson,NE,Dawes,Private property,W19-033,Mountain Lion,2018,1,Male,6.5 yrs,56.8 kg,Franciscella tularensis and Yersinia pestis not detected,,07/19/18,08/08/2018,Arnold/Nordeen,NEGPC,
384-18,Bahnson,NE,Sheridan,Streblow Property,-,Mountain Lion,2018,1,Female,1 yr,31.8 kg,Franciscella tularensis and Yersinia pestis not detected,,08/21/18,08/31/18,Arnold/Nordeen,NEGPC,
375-16,Bahnson,NE,Scotts Bluff,Gering,-,Mountain Lion,2016,1,Female,1 yr,27 kg,Franciscilla tularensis and Yersinia pestis not detected,#460,07/27/16,08/15/16,Nordeen,NEGPC,
185-19,Kunkel,NE,Dawes,15 miles south/southwest of Chadron,W19-585,Mountain Lion,2019,1,Female,7 yrs,Unknown,Francisella spp. and Yersinia pestis not detected,ID #F4.,04/19/19,05/16/19,Blake/Nordeen,NEGPC,
621-19,Dugovich,NE,Dawes,"14 miles South, 7 miles West of Chadron",W19-909,Mountain Lion,2019,1,Female,10 mths,Unknown,Francisella spp. and Yersinia pestis not detected,,09/19/19,10/23/19,Arnold/Blake,NEGPC,
619-19,Dugovich,NE,Sioux,"Edgemont Road, near Gilbert-Baker Wildlife Management Area",W19-907,Mountain Lion,2019,1,Female,1-1.5 yrs,Unknown,No evidence of Francisella spp. or Yersinia pestis infection,,09/19/19,10/30/19,Arnold/Blake,NEGPC,
620-19,Dugovich,NE,Sheridan,near Gordon,W19-908,Mountain Lion,2019,1,Male,11 mths,Unknown,No evidence of Francisella spp. or Yersinia pestis infection,#M52,09/19/19,10/29/19,Arnold/Blake,NEGPC,
673-17,Niedringhaus,NE,Dawes,Table and Deadhorse Road,-,Mountain Lion,2017,1,Male,2 yrs,59 kg,Plague and tularemia bacterial not detected,,10/31/17,12/04/2017,Arnold/Nordeen,NEGPC,
281-17,Dalton,NE,Sioux,Harrison,W17-704,Mountain Lion,2017,1,Male,6 yrs,63 kg,Tularemia and plague not detected,Mountain Lion #M20,06/07/2017,06/15/17,Nordeen,NEGPC,
011-19,Dalton,NE,Morrill,Redington,W19-363,Mountain Lion,2019,1,Male,8 yrs,50 kg,Vertebral bone tumor (osteosarcoma) with secondary fracture and spinal injury,Test results for tularemia and plague were both negative.,01/08/2019,02/21/19,Blake/Nordeen,NEGPC,
261-19,Kunkel,KS,Rooks,"S13, T6, R16",W19-658,Mountain Lion,2019,1,Male,2 yrs,52.3 kg,Yersinia pestis not detected,,06/05/2019,06/18/19,Peek,KSDWPT,
136-19,Kunkel,VA,Roanoke,Hollins University,W19-537,Muskrat,2019,1,Female,Adult,1.295 kg,Cause of death undetermined; Hepatic tapeworm cysts; No rabies virus or Francisella tularensis detected,Canine distemper virus was not detected.,03/26/19,04/08/2019,Kirchgessner,VADGIF,
271-18,Niedringhaus,PA,Union,Lewisburg,P1815292,Muskrat,2018,1,Female,Adult,1.13 kg,Multi-organ cysticercosis (Versteria sp. identified),#18WH0035,06/27/18,08/13/18,Brown,PAGC,
067-17,Niedringhaus,PA,Susquehanna,"TNC Woodbourne Preserve, Dimock",W17-431,Muskrat,2017,1,Female,Adult,1.36 kg,Trauma (axillary hematoma),"#17NE0003.  Francisella tularensis, the causative agent of tularemia, was not detected.",01/31/17,03/14/17,Wenner/Brown,PAGC,
217-14,Ballard,GA,Greene,Reynolds Plantation,W15-20,Nine-banded Armadillo,2014,1,Male,Adult,4.5 kg,Bacterial dermatitis/ osteomyelitis,Bacterial overgrowth on the fungal media prevented fungal culture.,07/25/14,09/24/14,Stephens,USDA-WS,
607-15,Elsmo,FL,Pinellas,Tampa,W16-370,Nine-banded Armadillo,2015,1,Male,Adult,Unknown,Cerebral nematodiasis; Toxoplasma gondii infection,"#151104-01.  Infection with arboviruses, rabies virus, and Mycobacterium spp. was not detected.",11/06/2015,07/13/16,Clemons/Cunningham,FLFWCC,
241-18,Bahnson,GA,Madison,Danielsville,W18-551,Nine-banded Armadillo,2018,1,Female,Adult,4.7 kg,Rabies,No evidence of infection with Mycoplasma leprae.,06/11/2018,06/29/18,Jordan,GADNR,
299-16,Bahnson,TN,Williamson,Franklin,W16-744,Nine-banded Armadillo,2016,1,Male,Adult,4.74 kg,Trauma; bronchointerstitial pneumonia,"Rabies, canine distemper, or Mycobacterium spp. was not detected.",06/10/2016,07/28/16,Applegate,TNWRA,
345-17,Dalton,AR,Van Buren,Fairfield Bay,W18-050,Nine-banded Armadillo,2017,1,Female,Adult,5.2 kg,Trauma; Rabies virus not detected; Mycobacterium leprae not detected,#AR2017-13,07/19/17,10/11/2017,Ballard,ARGFC,
500-18,Niedringhaus,AR,Jefferson,Redfield,W19-176,Nine-banded Armadillo,2018,1,Male,Adult,2.665 kg,Undetermined,"#AR2018-018. No bacteria was isolated from the lungs, and no Mycobacterium spp. (including M. leprae) were detected.",09/27/18,10/15/18,Ballard,ARGFC,
575-19,Dugovich,WV,Randolph,Spruce Mountain,W19-892,Northern Flying Squirrel,2019,3,"A, C: Male. B: Female","A, B: Adult. C: Juvenile",A: 88 g. B: 96 g. C: 56 g,A-C: No evidence of disease,No ectoparasites or gastrointestinal parasites were observed.,09/11/2019,10/31/19,Silvis,WVDNR,
154-16,Fenton,LA,East Baton Rouge,"Industriplex, Baton Rouge",W16-599,Nutria,2016,1,Female,Adult,4.69 kg,Dam: Axillary subcutaneous abscess (Streptococcus dysgalactiae isolated); hepatic lipidosis and hemorrhage. Fetus 1: Hepatic lipidosis and anasarca.,"Infection with rabies virus, canine distemper virus, and Francisella tularensis was not detected.",03/17/16,04/27/16,LaCour,LADWF,
258-17,Bryan,KY,Anderson,Lawrenceburg,"W17-685, W17-686",Opossum,2017,2,Both,Juvenile,"0.2, 0.1 kg",A&B: Trauma (suspect intraspecific aggression),#KDFWR-W-2017-22.  No evidence of infection with rabies virus was detected in either opossum.,05/24/17,07/12/2017,Stasiak,KYDFWR,
377-18,Ruder,MD,Wicomico,Salisbury,W19-095 - W19-097,Opossum,2018,3,"A: Female. B, C: Male",Juvenile,A: 121 g. B: 117 g. C: 108 g,A-C: Suspected sepsis,#18F5493. Streptococcus didelphis was cultured from the liver of animal A. ,08/16/18,10/02/2018,Pierce/Driscoll,MDDOA/MDDNR,
386-14,Fenton,LA,Iberville,St. Gabriel,W15-157,Opossum,2014,1,Female,Adult,1.31 kg,"Emaciation, chronic renal disease and disseminated protozoal infection (Besnoitia darlingi)",Rabies not detected,12/02/2014,01/12/2015,LaCour,LADWF,
615-16,Dalton,LA,St. Tammany,"Country Club Drive, Covington",W17-248,Opossum,2016,1,Female,Adult,1.35 kg,Emaciation; heavy parasitism; renal disease (suspect Leptospirosis),,11/01/2016,11/30/16,Burks/LaCour,LADWF,
470-16,Ruder,LA,Ascension,Unknown,W17-142,Opossum,2016,1,Male,Juvenile,0.46 kg,Eosinophilic meningoencephalitis due to Angiostrongylus cantonensis (rat lungworm) migration,#OP_2Sept16_Asc.  Rabies and arboviruses were not detected.,09/07/2016,12/12/2016,LaCour,LADWF,
205-18,Ruder,LA,Ascension,Gonzales,W18-564,Opossum,2018,1,Female,Adult,Unknown,Meningoencephalitis due to Angiostrongylus cantonensis (rat lungworm) migration; Verminous pneumonia (Didelphostrongylus hayesi); Metastatic lung worm tumor (mammary adenocarcinoma),,05/30/18,07/20/18,LaCour,LADWF,
207-16,Bryan,LA,Livingston,Denham Springs,W16-643,Opossum,2016,1,Female,Adult,Unknown,Suspect trauma; myocarditis of unknown origin,Canine distemper virus was not detected.,04/15/16,07/11/2016,LaCour,LADWF, 
299-15,Fenton,TN,Henry,Unknown,W16-20,Opossum,2015,1,Female,Adult,2.465 kg,Trauma and mild pyoderma,Rabies and canine distemper virus were not detected.,07/08/2015,07/15/15,Stanfield,TNWRA,
410-16,Dalton,LA,East Baton Rouge,Siegn Lane,W17-72,Opossum,2016,1,Female,Juvenile,645 g,Trauma and verminous pneumonia,#OP-EBR-5Aug2016.  Rabies and canine distemper virus were not detected.,08/09/2016,09/19/16,LaCour,LADWF,
174-15,Fenton,MO,Laclede,~3 miles west of Lebanon,W15-373,Opossum,2015,1,Female,Adult,1.653 kg,"Trauma with septic arthritis (beta Streptococcus sp., Pasteurella multocida, and Corynebacterium sp. isolated)",#15054,04/22/15,05/11/2015,,,
443-17,Dalton,KY,Green,Greensburg,W18-092,Opossum,2017,1,Female,Adult,2.26 g,Trauma; verminous pneumonia,#KDFWR-W-2017-58,08/23/17,08/29/17,Mason/Stasiak,KYDFWR,
399-19,Kunkel,GA,DeKalb,Rehobeth Drive,W19-789,Opossum,2019,1,Female,Adult,2.4 kg,Trauma; verminous pneumonia (Didelphostrongylus hayesi),No rabies virus or canine distemper virus were detected.,07/30/19,09/09/2019,Reese/Johannsen,GADNR,
041-17,Niedringhaus,PA,Butler,Cherry Township,W17-370,Porcupine,2017,1,Female,Adult,Unknown,Sarcoptic mange,#17NW0001,01/12/2017,02/13/17,Brown,PAGC,
110-18,Ruder,NE,Loup,Myrtle Hall Wildlife Management Area,W18-435,Porcupine,2018,1,Male,Adult,4.3 kg,Suspected protozoal encephalitis,No Baylisascaris sp. nematode larvae were observed.  Rabies virus was not detected.,03/22/18,06/11/2018,Conn/Nordeen,NEGPC,
230-19,Niedringhaus,NE,Box Butte,Alliance,W19-627,Prairie Dog,2019,1,Female,Adult,740 g,Emaciation,"#Pdog-NW05202019.  The causative agents of rabies, tularemia, and plague were not detected.",05/22/19,06/13/19,Nordeen,NEGPC,
379-14,Elsmo,FL,Collier,Big Cypress National Preserve,N01-545,Puma,2014,1,Female,10 yrs,35.5 kg,Suppurative pneumonia with mixed bacterial colonies,Canine distemper virus not detected,11/25/14,12/11/2014,Cunningham,FLFWCC,
305-15,Niedringhaus,GA,Fulton,"Spindletree Trace, Roswell",W16-24,Raccon,2015,1,Male,Adult,5.10 kg,Canine distemper virus,Rabies not detected,07/13/15,08/21/15,Larson,GADNR,
703-17,Niedringhaus,LA,Lafayette ,Girard Woods Road,W18-217 W18-218,Raccoon,2017,2,A&B: Male,A&B: Adult,A: 4.48 kg. B: Unknown,A and B: Canine distemper,A: #COON-AM1-Lafayette-8November2017. B: #COON-AM2-Lafayette-8November2017.  Rabies virus was not detected in raccoon A. ,11/10/2017,12/13/17,Anderson/LaCour,LADWF,
139-15,Niedringhaus,KY,Fayette,"4200 Old Frankfort Pike, Lexington","W15-333, W15-334",Raccoon,2015,2,Both,Adult,"1.92, 2.23 kg",A&B: Canine distemper virus,Rabies virus was not detected in either raccoon.,03/31/15,04/22/15,,,
666-15,Bahnson,KY,Jessamine,Nicholasville,"W16-405, W16-406",Raccoon,2015,2,Both,Adult,Unknown,A&B: Canine distemper virus,A: #KDFWR-W-2015-109. B: KDFWR-W-2015-110.  Rabies not detected in either raccoon,12/14/15,01/05/2016,Stasiak,KYDFWR,
223-16,Niedringhaus,GA,Walker,"Wilson Lane, Chickamauga",W16-669,Raccoon,2016,2,Both,Adult,2.78-4.40 kg,A&B: Canine distemper virus,Rabies virus not detected,04/22/16,06/06/2016,Hammond,GADNR,
266-17,Niedringhaus,VA,Albemarle,A: Earlysville.  B: Charlottesville,"W17-682, W17-683",Raccoon,2017,2,A: Male. B: Female.,A: Adult. B: Juvenile,A: 3.28 kg. B: 1.9 kg.,A&B: Canine distemper virus,No rabies virus was detected in either animal.,05/31/17,06/22/17,Kirchgessner,VADGIF,
051-18,Bahnson,NC,Iredell,"Foursquare Road, Mooresville",W18-373,Raccoon,2018,2,A: Male. B: Female,Adult,A: 2.73 kg. B: 1.93 kg,A&B: Canine distemper virus,Negative rabies results were reported by the Iredell County Animal Control.,02/13/18,02/22/18,Tomberlin,NCWRC,
108-18,Ruder,LA,Beauregard,"Carter Road, DeRidder",W18-433,Raccoon,2018,2,A: Male. B: Female,Adult,A: 4.0 kg. B: 3.5 kg.,A&B: Canine distemper virus.  B: Protozoal (Sarcocystis neurona) encephalitis,A: COON-AM-Beauregard-19March2018. B: COON-AF-Beauregard-19March2018. Rabies not detected in either raccoon.,03/21/18,05/16/18,Anderson/LaCour,LADWF,
253-19,Niedringhaus,WV,Grant,Mount Storm,W19-669,Raccoon,2019,2,Female,~4 wks,A: 505 g. B: 540 g,A&B: No abnormalities detected,Leptospira interrogans was not detected in wither raccoon.,05/31/19,06/20/19,Barton/Crum,WVDNR,
166-17,Bahnson,GA,Glynn,Jekyll Island,W17-558,Raccoon,2017,2,A: Male. B: Female.,Adult,A: 5.09 kg. B: 3.43 kg.,A&B: Rabies,A: #M17010. B: #M17006. Canine distemper virus was not detected in either raccoon.,03/24/17,04/14/17,Mixon,GADNR,
990-19,Nemeth,KY,Franklin,"A, B: Frankfort.  C: Salato Wildlife Center",W19-1146,Raccoon,2019,3,"A: Male. B, C: Female.",Unknown,Unknown,"A, B, C: Canine distemper.  A, B: Pulmonary nematodiasis (lungworm infection).  B: Bacterial pneumonia (multiple bacteria isolated)",A: KDFWR-W-2019-125A. B: KDFWR-W-2019-125B.  C: KDFWR-W-2019-125C,12/24/19,01/08/2020,Casey,KYDFWR,
126-16,Elsmo,NC,"Buncombe, Henderson",Unknown,W16-572,Raccoon,2016,3,Both,"Juvenile, Adult",2.97-3.83 kg,"A,B,&C: Canine distemper",Rabies not detected,03/03/2016,04/01/2016,McVey,NCWRC,
